Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
DA:A1:19:0A:2E:88, 2023-11-07 12:14:43, 2023-11-07 12:14:43,-70,1,(not associated),
4C:F5:DC:EB:AF:21, 2023-11-07 12:14:44, 2023-11-07 12:18:34,-74,2,48:D3:43:B7:61:E9,
B8:AB:62:F8:69:2B, 2023-11-07 12:14:55, 2023-11-07 12:14:55,-76,1,(not associated),
9A:78:50:F2:1C:8D, 2023-11-07 12:15:04, 2023-11-07 12:15:04,-72,1,(not associated),
86:D7:37:76:8C:67, 2023-11-07 12:15:19, 2023-11-07 12:15:19,-76,1,(not associated),
26:CF:DA:6B:8A:E6, 2023-11-07 12:15:44, 2023-11-07 12:15:44,-73,2,(not associated),
00:BF:AF:B7:BB:25, 2023-11-07 12:15:48, 2023-11-07 12:15:48,-75,1,2A:AA:E4:F6:E5:4D,
D2:FA:AA:97:8A:30, 2023-11-07 12:16:31, 2023-11-07 12:16:31,-65,1,(not associated),
B6:62:EC:84:F4:AA, 2023-11-07 12:16:41, 2023-11-07 12:16:41,-68,2,(not associated),
6E:B5:18:52:60:3B, 2023-11-07 12:16:46, 2023-11-07 12:16:46,-67,2,(not associated),
BA:BF:1A:7A:B5:2F, 2023-11-07 12:16:52, 2023-11-07 12:16:52,-69,4,(not associated),
06:3A:56:AD:57:1D, 2023-11-07 12:16:56, 2023-11-07 12:16:56,-74,1,(not associated),
BC:CE:25:F4:83:76, 2023-11-07 12:16:57, 2023-11-07 12:16:57,-1,1,90:17:3F:E7:84:70,
96:D1:EC:A7:DE:E8, 2023-11-07 12:17:11, 2023-11-07 12:17:11,-70,1,(not associated),
3E:D2:BD:0B:C3:9D, 2023-11-07 12:17:14, 2023-11-07 12:17:14,-74,1,(not associated),
AE:82:F4:63:21:A3, 2023-11-07 12:17:24, 2023-11-07 12:17:25,-62,5,(not associated),
12:F8:ED:1E:30:BA, 2023-11-07 12:17:24, 2023-11-07 12:17:24,-75,1,(not associated),
3A:8B:8E:72:A0:50, 2023-11-07 12:17:32, 2023-11-07 12:17:32,-72,3,(not associated),cristianarancibia
24:62:AB:37:05:13, 2023-11-07 12:17:33, 2023-11-07 12:21:48,-77,2,C4:69:F0:CF:F1:64,
94:A4:08:48:4C:C0, 2023-11-07 12:17:58, 2023-11-07 12:17:58,-1,1,C4:0D:96:36:37:70,
6E:46:3F:E5:3B:01, 2023-11-07 12:18:19, 2023-11-07 12:18:19,-68,2,(not associated),
78:8B:2A:CD:F8:F5, 2023-11-07 12:18:52, 2023-11-07 12:24:01,-76,7,4E:AB:F8:4C:AD:0F,
CA:15:74:63:11:3F, 2023-11-07 12:19:05, 2023-11-07 12:19:05,-72,1,(not associated),
E0:76:D0:53:13:FF, 2023-11-07 12:19:16, 2023-11-07 12:19:16,-72,1,(not associated),
36:65:73:23:55:18, 2023-11-07 12:19:28, 2023-11-07 12:19:28,-70,1,(not associated),
92:26:66:CD:64:C8, 2023-11-07 12:19:37, 2023-11-07 12:19:37,-76,1,(not associated),
D8:F1:5B:D6:69:17, 2023-11-07 12:20:18, 2023-11-07 12:22:34,-72,2,C4:69:F0:CF:F1:64,
66:C6:F9:B4:81:8A, 2023-11-07 12:20:40, 2023-11-07 12:20:40,-74,1,(not associated),
AE:70:56:69:46:E2, 2023-11-07 12:20:49, 2023-11-07 12:20:49,-70,1,(not associated),
42:A3:47:3D:8F:02, 2023-11-07 12:20:53, 2023-11-07 12:20:53,-74,1,(not associated),
C0:48:E6:C1:7A:83, 2023-11-07 12:21:15, 2023-11-07 12:21:15,-1,8,C4:FB:AA:82:BD:DC,
92:6E:C9:57:9C:44, 2023-11-07 12:21:20, 2023-11-07 12:21:20,-75,2,(not associated),
38:1F:8D:52:C7:04, 2023-11-07 12:21:33, 2023-11-07 12:24:43,-1,2,C4:0D:96:36:37:70,
56:70:AC:9F:8C:E5, 2023-11-07 12:21:47, 2023-11-07 12:21:47,-75,1,(not associated),
04:CF:8C:CD:EA:81, 2023-11-07 12:21:55, 2023-11-07 12:23:47,-80,2,F8:5B:3B:9D:40:7D,
72:09:0E:01:DA:29, 2023-11-07 12:22:00, 2023-11-07 12:22:00,-75,1,(not associated),
B6:88:90:42:86:39, 2023-11-07 12:22:10, 2023-11-07 12:22:10,-72,1,(not associated),
9E:C4:D3:29:A9:FB, 2023-11-07 12:22:16, 2023-11-07 12:22:16,-1,3,E8:13:6E:83:92:4C,
0E:67:55:84:01:DC, 2023-11-07 12:22:30, 2023-11-07 12:22:30,-74,1,(not associated),
3E:11:97:28:6D:78, 2023-11-07 12:22:31, 2023-11-07 12:22:31,-76,1,(not associated),
42:EF:9D:A3:BE:F0, 2023-11-07 12:22:36, 2023-11-07 12:22:36,-78,1,(not associated),
BE:27:A4:F4:47:FE, 2023-11-07 12:22:39, 2023-11-07 12:22:39,-72,2,(not associated),
DA:E7:1A:E9:17:E2, 2023-11-07 12:22:42, 2023-11-07 12:22:42,-65,2,(not associated),
D8:C0:A6:B9:A5:47, 2023-11-07 12:22:43, 2023-11-07 12:22:49,-71,12,66:E1:5C:3F:B5:2C,
86:28:2C:0B:94:D4, 2023-11-07 12:23:01, 2023-11-07 12:23:02,-66,5,(not associated),
22:5B:F0:92:B9:A7, 2023-11-07 12:23:02, 2023-11-07 12:23:02,-71,1,(not associated),
26:8A:52:5F:AF:72, 2023-11-07 12:23:18, 2023-11-07 12:23:18,-74,1,(not associated),
9E:17:3B:A7:DF:44, 2023-11-07 12:23:41, 2023-11-07 12:23:41,-75,1,(not associated),
00:AD:D5:C5:69:9E, 2023-11-07 12:24:05, 2023-11-07 12:24:05,-76,1,60:7E:CD:DE:6B:40,
FA:21:93:46:F1:71, 2023-11-07 12:24:24, 2023-11-07 12:24:24,-71,1,(not associated),
D4:9C:DD:B0:F7:84, 2023-11-07 12:24:25, 2023-11-07 12:24:25,-75,1,(not associated),
8A:22:13:82:9D:60, 2023-11-07 12:24:39, 2023-11-07 12:24:39,-55,2,(not associated),
38:1F:8D:53:3D:A4, 2023-11-07 12:24:43, 2023-11-07 12:24:43,-1,1,C4:0D:96:36:37:70,
38:1F:8D:52:BB:3C, 2023-11-07 12:24:43, 2023-11-07 12:24:43,-1,1,C4:0D:96:36:37:70,
38:1F:8D:52:7E:D3, 2023-11-07 12:24:43, 2023-11-07 12:24:43,-1,2,C4:0D:96:36:37:70,
